Position,P0_A,P0_C,P0_G,P0_T,P0_Coverage,P0_Entropy,P5_A,P5_C,P5_G,P5_T,P5_Coverage,P5_Entropy,P7_A,P7_C,P7_G,P7_T,P7_Coverage,P7_Entropy,P10_A,P10_C,P10_G,P10_T,P10_Coverage,P10_Entropy,P15_A,P15_C,P15_G,P15_T,P15_Coverage,P15_Entropy,P18_A,P18_C,P18_G,P18_T,P18_Coverage,P18_Entropy,P20_A,P20_C,P20_G,P20_T,P20_Coverage,P20_Entropy,R2_P20_A,R2_P20_C,R2_P20_G,R2_P20_T,R2_P20_Coverage,R2_P20_Entropy,R3_P20_A,R3_P20_C,R3_P20_G,R3_P20_T,R3_P20_Coverage,R3_P20_Entropy,R4_P20_A,R4_P20_C,R4_P20_G,R4_P20_T,R4_P20_Coverage,R4_P20_Entropy,Group
1246,0.15,0.05,99.7,0.1,97043,0.03,0.08,0.05,99.76,0.11,79368,0.03,0.13,0.04,99.72,0.11,83042,0.03,0.08,0.02,99.84,0.06,51991,0.02,0.1,0.04,99.73,0.13,64094,0.03,0.11,0.05,99.73,0.11,45461,0.03,0.1,0.05,99.75,0.1,57032,0.03,0.07,0,99.86,0.07,67767,0.02,0.1,0.04,99.74,0.12,73745,0.03,0.06,0.02,99.85,0.08,46883,0.02,R1_Ribp_UVp
1247,0.04,0.2,0.04,99.73,98748,0.03,0.05,0.12,0.05,99.77,80710,0.03,0.04,0.1,0.04,99.82,84292,0.02,0.03,0.1,0.02,99.85,52774,0.02,0.05,0.12,0.05,99.79,65140,0.02,0.06,0.12,0.04,99.78,46134,0.03,0.04,0.16,0.07,99.73,58004,0.03,0.03,0.11,0.02,99.84,68781,0.02,0.05,0.11,0.07,99.78,74829,0.03,0.02,0.09,0.01,99.88,47696,0.01,R1_Ribp_UVp
1248,99.72,0.04,0.16,0.07,100525,0.03,99.78,0.04,0.11,0.06,82124,0.03,99.76,0.03,0.14,0.07,85626,0.03,99.8,0.03,0.14,0.04,53534,0.02,99.74,0.04,0.17,0.05,66109,0.03,99.74,0.04,0.14,0.07,46829,0.03,99.73,0.04,0.15,0.07,58900,0.03,99.85,0.01,0.11,0.03,69815,0.02,99.76,0.03,0.14,0.07,75957,0.03,99.87,0.01,0.09,0.03,48418,0.02,R1_Ribp_UVp
1249,0.06,94.15,0.05,5.74,102261,0.33,0.07,98.49,0.05,1.39,83456,0.12,0.07,99.8,0.04,0.09,86985,0.02,0.02,99.89,0.01,0.08,54264,0.01,0.05,99.79,0.05,0.12,67159,0.03,0.07,99.77,0.04,0.11,47468,0.03,0.07,99.81,0.05,0.08,59847,0.02,0.02,99.87,0.02,0.09,70900,0.02,0.04,99.83,0.03,0.1,77235,0.02,0.03,99.91,0.01,0.05,49172,0.01,R1_Ribp_UVp
1250,0.08,0.17,0.05,99.71,104579,0.03,0.06,0.13,0.07,99.74,85322,0.03,0.04,0.13,0.06,99.77,88633,0.03,0.04,0.1,0.03,99.83,55380,0.02,0.04,0.11,0.05,99.81,68440,0.02,0.05,0.11,0.03,99.8,48288,0.02,0.06,0.11,0.04,99.79,61005,0.02,0.03,0.1,0.01,99.86,72339,0.02,0.08,0.09,0.04,99.8,78710,0.02,0.01,0.1,0.01,99.88,50166,0.01,R1_Ribp_UVp
1251,99.66,0.07,0.18,0.1,106181,0.04,99.67,0.06,0.15,0.12,86607,0.04,99.72,0.06,0.14,0.09,89828,0.03,99.73,0.05,0.14,0.08,55975,0.03,99.74,0.08,0.12,0.07,69297,0.03,99.66,0.09,0.14,0.1,48850,0.04,99.69,0.07,0.16,0.09,61773,0.04,99.78,0.06,0.13,0.04,73375,0.03,99.64,0.11,0.15,0.1,79673,0.04,99.82,0.04,0.11,0.04,50750,0.02,R1_Ribp_UVp
1252,0.07,99.44,0.04,0.44,107900,0.06,0.07,99.78,0.06,0.09,87980,0.03,0.06,99.78,0.05,0.11,91166,0.03,0.04,99.89,0.01,0.06,56715,0.01,0.07,99.78,0.05,0.11,70326,0.03,0.08,99.72,0.07,0.14,49496,0.03,0.06,99.77,0.05,0.12,62699,0.03,0.04,99.88,0.01,0.07,74456,0.01,0.08,99.75,0.05,0.12,80861,0.03,0.03,99.91,0.01,0.06,51462,0.01,R1_Ribp_UVp
1253,0.1,99.66,0.04,0.19,110521,0.04,0.09,99.75,0.05,0.1,90147,0.03,0.08,99.75,0.06,0.11,93048,0.03,0.06,99.83,0.01,0.11,57790,0.02,0.09,99.75,0.06,0.11,71608,0.03,0.09,99.73,0.05,0.13,50346,0.03,0.09,99.7,0.05,0.15,63899,0.03,0.04,99.88,0.01,0.08,75890,0.02,0.09,99.71,0.05,0.15,82476,0.03,0.03,99.86,0.02,0.09,52491,0.02,R1_Ribp_UVp
1254,99.74,0.04,0.15,0.08,112777,0.03,99.76,0.04,0.12,0.08,91907,0.03,99.77,0.05,0.12,0.05,94659,0.03,99.8,0.03,0.13,0.04,58735,0.02,99.75,0.05,0.13,0.07,72770,0.03,99.72,0.05,0.14,0.08,51128,0.03,99.74,0.04,0.16,0.07,64970,0.03,99.81,0.04,0.11,0.04,77025,0.02,99.76,0.05,0.11,0.08,83766,0.03,99.86,0.02,0.08,0.03,53342,0.02,R1_Ribp_UVp
1255,0.08,98.53,0.04,1.36,114995,0.12,0.08,99.82,0.04,0.07,93705,0.02,0.06,99.81,0.03,0.09,96341,0.02,0.03,99.91,0.02,0.05,59693,0.01,0.07,99.77,0.04,0.11,73952,0.03,0.07,99.81,0.03,0.09,51855,0.02,0.08,99.76,0.04,0.12,66014,0.03,0.05,99.9,0,0.05,78337,0.01,0.09,99.76,0.04,0.1,85186,0.03,0.03,99.93,0.01,0.03,54184,0.01,R1_Ribp_UVp
1256,0.05,0.12,0.05,99.78,117625,0.03,0.03,0.08,0.06,99.84,95720,0.02,0.04,0.09,0.06,99.8,98304,0.02,0.02,0.09,0.02,99.86,60776,0.02,0.04,0.09,0.05,99.82,75411,0.02,0.05,0.1,0.06,99.78,52718,0.03,0.05,0.11,0.06,99.78,67313,0.03,0.02,0.08,0.03,99.87,79734,0.02,0.06,0.11,0.05,99.77,86880,0.03,0.02,0.08,0.02,99.88,55178,0.02,R1_Ribp_UVp
1257,99.72,0.05,0.14,0.08,120274,0.03,99.81,0.05,0.07,0.07,97839,0.02,99.79,0.05,0.09,0.06,100192,0.02,99.82,0.02,0.11,0.05,61848,0.02,99.75,0.05,0.12,0.08,76851,0.03,99.74,0.07,0.1,0.08,53609,0.03,99.72,0.06,0.15,0.07,68596,0.03,99.87,0.02,0.08,0.03,81269,0.02,99.72,0.06,0.15,0.07,88560,0.03,99.88,0.02,0.07,0.03,56214,0.01,R1_Ribp_UVp
1258,0.06,0.26,0.04,99.64,123136,0.04,0.07,0.14,0.06,99.73,100211,0.03,0.06,0.16,0.05,99.73,102244,0.03,0.03,0.2,0.02,99.75,63125,0.03,0.03,0.16,0.05,99.77,78169,0.03,0.07,0.14,0.06,99.73,54521,0.03,0.07,0.21,0.04,99.68,69875,0.04,0.03,0.12,0.02,99.83,82900,0.02,0.03,0.15,0.05,99.77,90052,0.03,0.02,0.13,0.02,99.83,57249,0.02,R1_Ribp_UVp
1259,0.08,99.25,0.05,0.62,125462,0.07,0.09,99.79,0.04,0.09,102022,0.02,0.07,99.76,0.05,0.13,104062,0.03,0.03,99.85,0.01,0.1,64076,0.02,0.06,99.76,0.04,0.14,79378,0.03,0.09,99.74,0.04,0.13,55308,0.03,0.08,99.78,0.03,0.11,71019,0.03,0.03,99.9,0.01,0.05,84252,0.01,0.07,99.77,0.05,0.11,91609,0.03,0.02,99.9,0.01,0.06,58216,0.01,R1_Ribp_UVp
1260,0.05,0.15,0.05,99.75,128184,0.03,0.06,0.13,0.05,99.76,104220,0.03,0.04,0.11,0.05,99.8,106029,0.02,0.04,0.12,0.01,99.82,65094,0.02,0.03,0.1,0.03,99.84,80739,0.02,0.04,0.1,0.09,99.76,56151,0.03,0.05,0.14,0.04,99.77,72307,0.03,0.04,0.1,0.02,99.84,85775,0.02,0.04,0.13,0.05,99.78,93200,0.03,0.03,0.09,0.02,99.86,59213,0.02,R1_Ribp_UVp
1261,99.7,0.05,0.17,0.08,131444,0.03,99.77,0.06,0.1,0.07,106915,0.03,99.76,0.07,0.1,0.07,108384,0.03,99.82,0.03,0.11,0.04,66638,0.02,99.76,0.05,0.11,0.08,82279,0.03,99.74,0.07,0.11,0.08,57248,0.03,99.72,0.06,0.14,0.08,73847,0.03,99.84,0.02,0.1,0.04,87588,0.02,99.73,0.05,0.12,0.1,95129,0.03,99.89,0.03,0.05,0.03,60479,0.01,R1_Ribp_UVp
1262,0.2,0.06,99.61,0.13,133146,0.04,0.08,0.05,99.77,0.1,108222,0.03,0.12,0.04,99.74,0.1,109714,0.03,0.08,0.02,99.85,0.05,67369,0.02,0.13,0.03,99.72,0.12,83275,0.03,0.13,0.04,99.71,0.12,57808,0.03,0.13,0.03,99.71,0.13,74679,0.03,0.08,0.01,99.87,0.04,88610,0.02,0.11,0.04,99.75,0.1,96213,0.03,0.08,0.01,99.86,0.04,61261,0.02,R1_Ribp_UVp
1263,0.14,0.04,99.73,0.09,134438,0.03,0.11,0.05,99.72,0.12,109049,0.03,0.13,0.05,99.71,0.11,110667,0.03,0.06,0.01,99.87,0.06,67803,0.02,0.09,0.03,99.76,0.12,84002,0.03,0.12,0.06,99.68,0.14,58154,0.04,0.12,0.05,99.72,0.11,75258,0.03,0.08,0.02,99.86,0.04,89439,0.02,0.11,0.05,99.73,0.11,96936,0.03,0.08,0.01,99.86,0.05,61779,0.02,R1_Ribp_UVp
1264,99.54,0.07,0.29,0.1,136521,0.05,99.74,0.07,0.13,0.07,110643,0.03,99.68,0.06,0.17,0.09,112255,0.04,99.69,0.03,0.23,0.04,68704,0.03,99.64,0.06,0.19,0.11,85186,0.04,99.66,0.07,0.17,0.1,58897,0.04,99.58,0.07,0.25,0.09,76268,0.04,99.78,0.02,0.16,0.03,90698,0.02,99.69,0.06,0.13,0.12,98189,0.03,99.76,0.03,0.17,0.04,62655,0.03,R1_Ribp_UVp
1265,99.62,0.04,0.26,0.08,138925,0.04,99.74,0.04,0.17,0.05,112593,0.03,99.69,0.05,0.2,0.06,113932,0.03,99.73,0.02,0.2,0.04,69695,0.03,99.71,0.04,0.2,0.05,86443,0.03,99.66,0.07,0.2,0.08,59607,0.04,99.63,0.06,0.25,0.06,77308,0.04,99.82,0.02,0.15,0.02,91973,0.02,99.7,0.04,0.2,0.05,99677,0.03,99.82,0.01,0.14,0.03,63525,0.02,R1_Ribp_UVp
1266,0.11,0.03,99.78,0.08,140265,0.03,0.07,0.04,99.79,0.1,113623,0.02,0.08,0.03,99.8,0.09,114944,0.02,0.07,0,99.89,0.03,70251,0.01,0.08,0.03,99.76,0.12,87186,0.03,0.09,0.03,99.78,0.11,60010,0.03,0.1,0.03,99.77,0.1,77977,0.03,0.07,0.01,99.89,0.03,92768,0.01,0.08,0.04,99.76,0.11,100355,0.03,0.07,0.01,99.88,0.05,63957,0.02,R1_Ribp_UVp
1267,99.64,0.04,0.25,0.07,142608,0.04,99.68,0.06,0.21,0.06,115400,0.04,99.69,0.05,0.18,0.07,116770,0.03,99.77,0.01,0.19,0.03,71317,0.03,99.75,0.04,0.15,0.06,88395,0.03,99.73,0.04,0.16,0.07,60750,0.03,99.65,0.05,0.23,0.07,79117,0.04,99.8,0.01,0.15,0.03,94135,0.02,99.7,0.04,0.18,0.08,101824,0.03,99.84,0.02,0.12,0.02,64947,0.02,R1_Ribp_UVp
1268,0.2,0.03,99.68,0.09,144777,0.03,0.07,0.04,99.79,0.11,117215,0.03,0.07,0.03,99.79,0.1,118382,0.02,0.09,0.01,99.84,0.06,72165,0.02,0.1,0.03,99.75,0.12,89479,0.03,0.11,0.04,99.73,0.11,61475,0.03,0.08,0.03,99.76,0.13,80114,0.03,0.05,0.01,99.89,0.04,95344,0.01,0.08,0.04,99.78,0.1,103053,0.03,0.06,0.01,99.88,0.05,65807,0.02,R1_Ribp_UVp
1269,0.07,99.72,0.04,0.17,147211,0.03,0.09,99.76,0.05,0.1,119091,0.03,0.08,99.77,0.05,0.1,120092,0.03,0.04,99.83,0.03,0.1,73097,0.02,0.07,99.77,0.04,0.12,90664,0.03,0.08,99.74,0.06,0.12,62318,0.03,0.09,99.74,0.04,0.12,81321,0.03,0.03,99.87,0.03,0.07,96776,0.02,0.07,99.79,0.04,0.11,104568,0.02,0.04,99.87,0.02,0.06,66798,0.02,R1_Ribp_UVp
1270,0.1,99.57,0.05,0.28,150092,0.05,0.1,99.75,0.04,0.11,121518,0.03,0.09,99.74,0.05,0.11,122237,0.03,0.05,99.8,0.02,0.12,74315,0.02,0.11,99.73,0.04,0.13,92027,0.03,0.1,99.71,0.05,0.14,63309,0.03,0.11,99.69,0.04,0.16,82675,0.04,0.06,99.83,0.01,0.09,98431,0.02,0.09,99.74,0.05,0.13,106280,0.03,0.06,99.85,0.02,0.08,67964,0.02,R1_Ribp_UVp
1271,0.18,0.05,99.63,0.13,153122,0.04,0.13,0.05,99.7,0.12,123897,0.03,0.14,0.06,99.68,0.12,124437,0.04,0.1,0.01,99.83,0.06,75561,0.02,0.12,0.04,99.73,0.11,93537,0.03,0.15,0.04,99.69,0.12,64267,0.03,0.12,0.03,99.72,0.13,84179,0.03,0.1,0.01,99.83,0.06,100169,0.02,0.15,0.05,99.7,0.11,108123,0.03,0.07,0.02,99.86,0.05,69084,0.02,R1_Ribp_UVp
1272,0.13,0.03,99.77,0.07,155556,0.03,0.09,0.05,99.78,0.08,125981,0.03,0.09,0.04,99.8,0.07,126367,0.02,0.05,0.01,99.9,0.03,76458,0.01,0.09,0.04,99.8,0.07,94709,0.02,0.12,0.04,99.76,0.08,64961,0.03,0.12,0.06,99.74,0.08,85297,0.03,0.07,0.01,99.9,0.02,101512,0.01,0.09,0.04,99.78,0.08,109386,0.03,0.05,0,99.92,0.03,70097,0.01,R1_Ribp_UVp
1273,0.07,0.24,0.04,99.65,158334,0.04,0.04,0.17,0.05,99.74,128044,0.03,0.04,0.16,0.05,99.74,128397,0.03,0.03,0.16,0.03,99.78,77608,0.02,0.07,0.13,0.05,99.75,96405,0.03,0.05,0.14,0.05,99.76,66120,0.03,0.06,0.2,0.06,99.68,86950,0.04,0.02,0.13,0.03,99.82,103473,0.02,0.07,0.14,0.06,99.74,111416,0.03,0.02,0.13,0.03,99.82,71378,0.02,R1_Ribp_UVp
1274,0.04,0.14,0.04,99.78,160858,0.03,0.03,0.09,0.04,99.84,130017,0.02,0.03,0.12,0.04,99.8,130182,0.02,0.01,0.1,0.01,99.87,78564,0.02,0.02,0.09,0.05,99.84,97546,0.02,0.03,0.12,0.05,99.8,66848,0.02,0.02,0.12,0.04,99.82,88078,0.02,0.02,0.07,0.01,99.9,104828,0.01,0.03,0.09,0.04,99.84,112809,0.02,0.02,0.08,0.01,99.89,72252,0.01,R1_Ribp_UVp
1275,99.75,0.03,0.16,0.05,162505,0.03,99.82,0.03,0.1,0.05,131395,0.02,99.8,0.04,0.12,0.05,131338,0.02,99.78,0.02,0.17,0.03,79200,0.02,99.83,0.03,0.11,0.04,98226,0.02,99.78,0.04,0.12,0.06,67285,0.03,99.77,0.03,0.16,0.04,88867,0.03,99.87,0.01,0.09,0.02,105589,0.02,99.79,0.04,0.12,0.05,113591,0.03,99.88,0.01,0.08,0.02,72853,0.01,R1_Ribp_UVp
1276,0.06,99.59,0.04,0.32,164760,0.04,0.06,99.81,0.04,0.09,133217,0.02,0.06,99.76,0.04,0.14,133025,0.03,0.03,99.86,0.01,0.11,80107,0.02,0.06,99.77,0.05,0.13,99373,0.03,0.07,99.75,0.06,0.12,68047,0.03,0.07,99.79,0.04,0.11,89936,0.02,0.03,99.92,0.01,0.05,106921,0.01,0.05,99.8,0.04,0.11,114831,0.02,0.04,99.85,0.01,0.09,73738,0.02,R1_Ribp_UVp
1277,99.64,0.04,0.26,0.06,166834,0.04,99.79,0.03,0.12,0.06,134938,0.02,99.75,0.03,0.17,0.05,134523,0.03,99.79,0.02,0.16,0.02,81046,0.02,99.76,0.04,0.15,0.05,100442,0.03,99.76,0.04,0.13,0.07,68757,0.03,99.69,0.03,0.21,0.07,90915,0.03,99.83,0.02,0.12,0.03,108174,0.02,99.74,0.03,0.17,0.06,116151,0.03,99.8,0.02,0.14,0.03,74576,0.02,R1_Ribp_UVp
1278,0.05,99.8,0.03,0.12,168912,0.02,0.05,99.83,0.04,0.07,136664,0.02,0.05,99.81,0.05,0.09,136123,0.02,0.03,99.89,0.01,0.07,81852,0.01,0.07,99.8,0.04,0.08,101374,0.02,0.06,99.82,0.04,0.09,69357,0.02,0.05,99.81,0.05,0.08,91899,0.02,0.03,99.9,0.01,0.06,109381,0.01,0.04,99.85,0.03,0.08,117248,0.02,0.03,99.91,0,0.05,75440,0.01,R1_Ribp_UVp
1279,99.66,0.03,0.25,0.06,171059,0.04,99.81,0.04,0.11,0.04,138394,0.02,99.78,0.03,0.14,0.04,137792,0.03,99.78,0.01,0.19,0.02,82823,0.02,99.78,0.03,0.14,0.05,102643,0.03,99.71,0.05,0.21,0.03,70171,0.03,99.76,0.04,0.15,0.05,92914,0.03,99.87,0.01,0.09,0.02,110648,0.02,99.77,0.04,0.14,0.04,118572,0.03,99.87,0.02,0.08,0.03,76372,0.02,R1_Ribp_UVp
1280,0.04,0.25,0.03,99.68,172550,0.03,0.04,0.15,0.04,99.77,139779,0.03,0.04,0.14,0.04,99.78,138887,0.03,0.03,0.16,0.02,99.79,83438,0.02,0.03,0.13,0.05,99.79,103321,0.02,0.06,0.13,0.05,99.76,70569,0.03,0.05,0.17,0.06,99.72,93540,0.03,0.02,0.14,0.02,99.82,111588,0.02,0.03,0.15,0.04,99.78,119248,0.03,0.03,0.12,0.02,99.84,76920,0.02,R1_Ribp_UVp
1281,0.05,0.18,0.03,99.74,174373,0.03,0.05,0.08,0.04,99.83,141416,0.02,0.04,0.13,0.03,99.79,140224,0.02,0.02,0.17,0.01,99.8,84172,0.02,0.04,0.12,0.03,99.8,104271,0.02,0.05,0.12,0.03,99.8,71160,0.02,0.05,0.18,0.03,99.75,94397,0.03,0.02,0.09,0.02,99.88,112577,0.01,0.05,0.13,0.03,99.8,120305,0.02,0.02,0.1,0.02,99.86,77687,0.02,R1_Ribp_UVp
1282,0.24,0.04,99.61,0.11,175625,0.04,0.09,0.03,99.74,0.14,142392,0.03,0.11,0.03,99.73,0.13,141158,0.03,0.1,0.02,99.81,0.07,84527,0.02,0.11,0.03,99.75,0.11,104790,0.03,0.1,0.03,99.74,0.13,71476,0.03,0.11,0.03,99.73,0.12,94994,0.03,0.08,0.02,99.84,0.06,113131,0.02,0.1,0.04,99.73,0.13,121031,0.03,0.07,0.02,99.86,0.05,78122,0.02,R1_Ribp_UVp
1283,0.07,99.77,0.03,0.14,177747,0.03,0.06,99.81,0.03,0.09,143958,0.02,0.06,99.8,0.03,0.11,142759,0.02,0.04,99.88,0.01,0.07,85363,0.01,0.07,99.81,0.03,0.09,105862,0.02,0.07,99.75,0.06,0.13,72116,0.03,0.06,99.79,0.04,0.11,95876,0.02,0.04,99.89,0.01,0.07,114265,0.01,0.05,99.8,0.04,0.1,122114,0.02,0.04,99.86,0.02,0.08,78832,0.02,R1_Ribp_UVp
1284,99.69,0.04,0.21,0.06,180422,0.03,99.79,0.04,0.1,0.07,146033,0.03,99.75,0.04,0.16,0.05,144664,0.03,99.78,0.03,0.17,0.03,86337,0.02,99.77,0.04,0.13,0.06,107058,0.03,99.73,0.04,0.16,0.08,72937,0.03,99.71,0.04,0.19,0.06,97079,0.03,99.83,0.01,0.13,0.02,115751,0.02,99.76,0.03,0.15,0.06,123522,0.03,99.84,0.02,0.11,0.03,79675,0.02,R1_Ribp_UVp
1285,0.05,0.25,0.04,99.66,182076,0.04,0.04,0.14,0.03,99.79,147301,0.02,0.04,0.16,0.03,99.77,145824,0.03,0.04,0.15,0.02,99.79,86851,0.02,0.04,0.16,0.04,99.77,107720,0.03,0.05,0.14,0.04,99.77,73342,0.03,0.04,0.15,0.05,99.76,97696,0.03,0.02,0.11,0.02,99.85,116446,0.02,0.04,0.11,0.04,99.81,124187,0.02,0.01,0.1,0.02,99.87,80176,0.02,R1_Ribp_UVp
1286,0.16,0.04,99.71,0.08,183867,0.03,0.09,0.04,99.78,0.1,148794,0.03,0.11,0.04,99.78,0.07,147020,0.03,0.08,0.01,99.88,0.03,87413,0.02,0.1,0.04,99.79,0.08,108470,0.03,0.1,0.04,99.76,0.1,73735,0.03,0.14,0.04,99.74,0.08,98353,0.03,0.06,0.01,99.88,0.05,117263,0.02,0.12,0.05,99.77,0.07,124990,0.03,0.09,0.01,99.87,0.03,80825,0.02,R1_Ribp_UVp
1287,0.07,0.18,0.05,99.7,185910,0.03,0.04,0.13,0.04,99.78,150343,0.03,0.04,0.13,0.03,99.8,148606,0.02,0.03,0.1,0.01,99.86,88146,0.02,0.04,0.11,0.04,99.81,109514,0.02,0.05,0.12,0.03,99.79,74408,0.02,0.05,0.15,0.04,99.76,99257,0.03,0.04,0.1,0.02,99.85,118428,0.02,0.05,0.12,0.04,99.8,126086,0.02,0.02,0.1,0.02,99.87,81598,0.02,R1_Ribp_UVp
1288,99.59,0.05,0.29,0.07,187492,0.04,99.81,0.03,0.09,0.07,151774,0.02,99.78,0.04,0.12,0.06,149824,0.03,99.82,0.02,0.11,0.04,88755,0.02,99.8,0.03,0.1,0.07,110240,0.02,99.8,0.03,0.1,0.06,74888,0.02,99.75,0.03,0.15,0.07,99969,0.03,99.87,0.02,0.08,0.03,119335,0.02,99.77,0.04,0.13,0.06,127030,0.03,99.89,0.01,0.07,0.03,82209,0.01,R1_Ribp_UVp
1289,0.08,99.73,0.04,0.15,189332,0.03,0.1,99.76,0.04,0.1,153337,0.03,0.09,99.77,0.04,0.11,151260,0.03,0.06,99.85,0,0.08,89596,0.02,0.09,99.78,0.04,0.1,111228,0.03,0.11,99.75,0.04,0.1,75514,0.03,0.08,99.75,0.04,0.13,100842,0.03,0.04,99.87,0.01,0.07,120529,0.02,0.09,99.78,0.04,0.09,128124,0.03,0.06,99.86,0.02,0.06,82936,0.02,R1_Ribp_UVp
1290,99.66,0.04,0.22,0.08,191445,0.04,99.8,0.04,0.09,0.07,155043,0.02,99.75,0.05,0.14,0.07,152777,0.03,99.78,0.02,0.16,0.04,90317,0.02,99.76,0.03,0.15,0.06,112153,0.03,99.75,0.05,0.13,0.07,76189,0.03,99.73,0.04,0.16,0.07,101703,0.03,99.87,0.02,0.1,0.02,121772,0.02,99.75,0.03,0.15,0.07,129117,0.03,99.86,0.02,0.09,0.03,83712,0.02,R1_Ribp_UVp
1291,99.6,0.05,0.27,0.08,193490,0.04,99.74,0.07,0.13,0.07,156713,0.03,99.76,0.05,0.15,0.05,154200,0.03,99.78,0.02,0.16,0.03,91151,0.02,99.72,0.06,0.16,0.06,113095,0.03,99.76,0.04,0.13,0.06,76857,0.03,99.67,0.06,0.2,0.06,102636,0.04,99.84,0.02,0.1,0.04,122916,0.02,99.75,0.04,0.15,0.06,130269,0.03,99.85,0.02,0.1,0.03,84465,0.02,R1_Ribp_UVp
1292,0.06,0.2,0.04,99.71,195370,0.03,0.04,0.08,0.04,99.84,158184,0.02,0.05,0.13,0.04,99.78,155614,0.03,0.03,0.13,0.02,99.81,91728,0.02,0.04,0.11,0.05,99.79,114060,0.02,0.05,0.11,0.04,99.8,77508,0.02,0.05,0.13,0.05,99.77,103556,0.03,0.03,0.09,0.02,99.86,123908,0.02,0.05,0.12,0.04,99.79,131313,0.02,0.03,0.09,0.02,99.86,85148,0.02,R1_Ribp_UVp
1293,0.12,0.04,99.76,0.08,196740,0.03,0.07,0.04,99.82,0.07,159392,0.02,0.08,0.04,99.79,0.08,156670,0.02,0.09,0.01,99.85,0.05,92339,0.02,0.09,0.03,99.81,0.07,114660,0.02,0.1,0.05,99.74,0.11,77882,0.03,0.1,0.05,99.77,0.09,104232,0.03,0.08,0.01,99.88,0.03,124564,0.01,0.09,0.04,99.79,0.08,131940,0.02,0.06,0,99.91,0.03,85599,0.01,R1_Ribp_UVp
1294,0.04,0.2,0.04,99.72,198743,0.03,0.04,0.09,0.03,99.85,161006,0.02,0.03,0.11,0.04,99.82,158138,0.02,0.03,0.11,0.02,99.85,93107,0.02,0.04,0.08,0.04,99.84,115635,0.02,0.04,0.1,0.04,99.82,78435,0.02,0.04,0.15,0.03,99.77,105181,0.03,0.02,0.08,0.02,99.88,125678,0.01,0.04,0.11,0.03,99.83,133033,0.02,0.02,0.09,0.02,99.87,86424,0.02,R1_Ribp_UVp
1295,99.77,0.04,0.15,0.05,200769,0.03,99.85,0.04,0.07,0.04,162635,0.02,99.82,0.04,0.1,0.04,159584,0.02,99.89,0.01,0.09,0.01,93938,0.01,99.84,0.03,0.1,0.03,116549,0.02,99.82,0.04,0.1,0.04,79066,0.02,99.81,0.04,0.12,0.04,106149,0.02,99.91,0.01,0.07,0.02,126797,0.01,99.83,0.03,0.1,0.04,134040,0.02,99.92,0.01,0.06,0.01,87213,0.01,R1_Ribp_UVp
1296,99.68,0.06,0.19,0.07,201958,0.04,99.79,0.05,0.1,0.06,163728,0.02,99.75,0.06,0.14,0.05,160374,0.03,99.78,0.03,0.16,0.02,94339,0.02,99.77,0.07,0.12,0.05,117130,0.03,99.76,0.07,0.12,0.05,79343,0.03,99.71,0.07,0.15,0.07,106650,0.03,99.85,0.02,0.11,0.03,127447,0.02,99.77,0.05,0.12,0.07,134573,0.03,99.85,0.02,0.1,0.03,87597,0.02,R1_Ribp_UVp
1297,0.04,0.21,0.04,99.71,203340,0.03,0.04,0.1,0.04,99.82,164830,0.02,0.05,0.16,0.02,99.77,161330,0.03,0.02,0.15,0.01,99.81,94781,0.02,0.03,0.14,0.04,99.79,117733,0.02,0.04,0.14,0.05,99.77,79697,0.03,0.03,0.16,0.04,99.77,107195,0.03,0.02,0.1,0.01,99.87,128244,0.02,0.03,0.12,0.04,99.81,135217,0.02,0.02,0.11,0.01,99.86,87974,0.02,R1_Ribp_UVp
1298,0.14,0.03,99.71,0.12,204460,0.03,0.09,0.03,99.76,0.12,165808,0.03,0.1,0.03,99.76,0.1,162224,0.03,0.1,0.01,99.83,0.06,95164,0.02,0.11,0.03,99.74,0.11,118437,0.03,0.12,0.03,99.7,0.15,80089,0.03,0.14,0.03,99.72,0.11,107751,0.03,0.08,0.02,99.84,0.06,128870,0.02,0.1,0.03,99.74,0.13,135824,0.03,0.08,0.02,99.85,0.05,88466,0.02,R1_Ribp_UVp
1299,0.05,99.77,0.03,0.14,206187,0.03,0.07,99.8,0.03,0.1,167205,0.02,0.06,99.8,0.03,0.1,163578,0.02,0.04,99.85,0.02,0.09,95760,0.02,0.06,99.82,0.02,0.09,119335,0.02,0.08,99.79,0.03,0.11,80607,0.03,0.05,99.81,0.03,0.1,108547,0.02,0.03,99.87,0.02,0.08,129930,0.02,0.07,99.79,0.02,0.12,136867,0.02,0.04,99.88,0.01,0.07,89096,0.02,R1_Ribp_UVp
1300,99.62,0.04,0.25,0.08,208369,0.04,99.77,0.05,0.12,0.06,168957,0.03,99.74,0.04,0.16,0.06,165144,0.03,99.74,0.02,0.2,0.04,96639,0.03,99.75,0.03,0.16,0.05,120360,0.03,99.73,0.04,0.16,0.07,81328,0.03,99.67,0.04,0.22,0.07,109582,0.04,99.82,0.02,0.13,0.03,131391,0.02,99.74,0.03,0.16,0.06,138078,0.03,99.8,0.02,0.14,0.03,89972,0.02,R1_Ribp_UVp
